Ticker,Company
002444.SZ,"Hangzhou Greatstar Industrial Co., Ltd"
002195.SZ,"Shanghai Stonehill Technology Co., Ltd."
002273.SZ,"Zhejiang Crystal-Optech Co., Ltd"
002429.SZ,"Shenzhen MTC Co., Ltd."
001286.SZ,"Shaanxi Energy Investment Co., Ltd."
002294.SZ,"Shenzhen Salubris Pharmaceuticals Co., Ltd."
000002.SZ,"China Vanke Co., Ltd."
002517.SZ,"Kingnet Network Co., Ltd."
300672.SZ,"Hunan Goke Microelectronics Co.,Ltd."
300115.SZ,"Shenzhen Everwin Precision Technology Co., Ltd."
300748.SZ,"JL Mag Rare-Earth Co., Ltd."
002831.SZ,"ShenZhen YUTO Packaging Technology Co., Ltd."
300903.SZ,"Guangdong Kingshine Electronic Technology Co.,Ltd."
000973.SZ,"FSPG Hi-Tech CO., Ltd."
002126.SZ,"Zhejiang Yinlun Machinery Co.,Ltd."
300122.SZ,"Chongqing Zhifei Biological Products Co., Ltd."
002340.SZ,"GEM Co., Ltd."
002056.SZ,"Hengdian Group DMEGC Magnetics Co., Ltd."
300677.SZ,"Intco Medical Technology Co., Ltd."
000728.SZ,Guoyuan Securities Company Limited
300207.SZ,"Sunwoda Electronic Co.,Ltd"
002841.SZ,Guangzhou Shiyuan Electronic Technology Company Limited
002939.SZ,"China Great Wall Securities Co.,Ltd."
301707.SZ,"Jiangsu X-chip Semiconductor Technology Co., Ltd."
000883.SZ,"Hubei Energy Group Co., Ltd."
002252.SZ,"Shanghai RAAS Blood Products Co., Ltd."
000921.SZ,"Hisense Home Appliances Group Co., Ltd."
300870.SZ,"Shenzhen Honor Electronic Co., Ltd."
000729.SZ,"Beijing Yanjing Brewery Co.,Ltd."
300487.SZ,"Sunresin New Materials Co.,Ltd"
002032.SZ,"Zhejiang Supor Co., Ltd."
300806.SZ,"Jiangsu Sidike New Materials Science & Technology Co., Ltd."
300251.SZ,"Beijing Enlight Media Co., Ltd"
002261.SZ,"Talkweb Information System Co.,Ltd."
002716.SZ,"Hunan Silver Co.,Ltd."
300209.SZ,"Xingyun Technology Co., Ltd."
300438.SZ,"Guangzhou Great Power Energy and Technology Co., Ltd"
000661.SZ,"Changchun High-Tech Industry (Group) Co., Ltd."
000876.SZ,"New Hope Liuhe Co.,Ltd."
000423.SZ,"Dong-E-E-Jiao Co., Ltd."
000800.SZ,"FAW Jiefang Group Co.,Ltd"
001267.SZ,"Hui Lyu Ecological Technology Groups Co.,Ltd."
300776.SZ,"Wuhan DR Laser Technology Corp.,Ltd"
002948.SZ,"Bank of Qingdao Co., Ltd."
002673.SZ,"Western Securities Co.,Ltd."
002222.SZ,CASTECH Inc.
000027.SZ,"Shenzhen Energy Group Co., Ltd."
300458.SZ,"Allwinner Technology Co.,Ltd."
