Ticker,Company
600141.SS,"Hubei Xingfa Chemicals Group Co., Ltd."
600711.SS,"Chengtun Mining Group Co., Ltd."
688549.SS,"GrandiT Co., Ltd."
603929.SS,"L&K Engineering (Suzhou) Co.,Ltd."
600298.SS,"Angel Yeast Co., Ltd"
603379.SS,"Zhejiang Sanmei Chemical Industry Co.,Ltd."
600060.SS,"Hisense Visual Technology Co., Ltd."
600177.SS,"Youngor Fashion Co., Ltd."
688411.SS,"Beijing HyperStrong Technology Co., Ltd."
603298.SS,"Hangcha Group Co., Ltd"
603369.SS,"Jiangsu King's Luck Brewery Joint-Stock Co.,Ltd."
600157.SS,"Wintime Energy Group Co.,Ltd."
688617.SS,APT Medical Inc.
688295.SS,"Zhongfu Shenying Carbon Fiber Co.,Ltd."
600588.SS,"Yonyou Network Technology Co.,Ltd."
601963.SS,"Bank of Chongqing Co., Ltd."
688169.SS,"Beijing Roborock Technology Co., Ltd."
688668.SS,"Dongguan Dingtong Precision Metal Co., Ltd."
688385.SS,Shanghai Fudan Microelectronics Group Company Limited
600295.SS,"Inner Mongolia ERDOS Resources Co.,Ltd."
900936.SS,"Inner Mongolia ERDOS Resources Co.,Ltd."
603225.SS,"Xinfengming Group Co., Ltd."
600085.SS,"Beijing Tongrentang Co., Ltd"
688167.SS,Focuslight Technologies Inc
600331.SS,"Sichuan Hongda Co.,Ltd"
600871.SS,Sinopec Oilfield Service Corporation
688676.SS,"Hainan Jinpan Smart Technology Co., Ltd."
600707.SS,"Caihong Display Devices Co.,Ltd."
601696.SS,"BOC International (China) Co., Ltd."
601236.SS,"Hongta Securities Co., Ltd."
601611.SS,China Nuclear Engineering Corporation Limited
605358.SS,"Hangzhou Lion Electronics Co.,Ltd"
600562.SS,"Glarun Technology Co.,Ltd"
600733.SS,"BAIC BluePark New Energy Technology Co., Ltd."
603127.SS,"Joinn Laboratories(China)Co.,Ltd."
600109.SS,"Sinolink Securities Co., Ltd."
600348.SS,"Shan Xi Hua Yang Group New Energy Co.,Ltd."
688122.SS,"Western Superconducting Technologies Co., Ltd."
